MembershipID,StudentID,MembershipNumber,MembershipType,StartDate,ExpiryDate,Status
5057,1057,IEEE-2026-057,Student,20-05-2026,19-05-2027,Active
5058,1058,IEEE-2026-058,Student,22-05-2026,21-05-2027,Active
5059,1059,IEEE-2026-059,Student,25-05-2026,24-05-2027,Active
5060,1060,IEEE-2026-060,Student,27-05-2026,26-05-2027,Active
5061,1061,IEEE-2026-061,Student,30-05-2026,29-05-2027,Active
5062,1062,IEEE-2026-062,Student,01-06-2026,31-05-2027,Active
5063,1063,IEEE-2026-063,Student,04-06-2026,03-06-2027,Active
5064,1064,IEEE-2026-064,Student,06-06-2026,05-06-2027,Active
5065,1065,IEEE-2026-065,Student,09-06-2026,08-06-2027,Active
5066,1066,IEEE-2026-066,Student,11-06-2026,10-06-2027,Active
5067,1067,IEEE-2026-067,Student,14-06-2026,13-06-2027,Active
5068,1068,IEEE-2026-068,Student,16-06-2026,15-06-2027,Active
5069,1069,IEEE-2026-069,Student,19-06-2026,18-06-2027,Active
5070,1070,IEEE-2026-070,Student,21-06-2026,20-06-2027,Active
5071,1071,IEEE-2026-071,Student,24-06-2026,23-06-2027,Active
5072,1072,IEEE-2026-072,Student,26-06-2026,25-06-2027,Active
5073,1073,IEEE-2026-073,Student,29-06-2026,28-06-2027,Active
5074,1074,IEEE-2026-074,Student,01-07-2026,30-06-2027,Active
5075,1075,IEEE-2026-075,Student,03-07-2026,02-07-2027,Active
5076,1076,IEEE-2026-076,Student,06-07-2026,05-07-2027,Active
5077,1077,IEEE-2026-077,Student,08-07-2026,07-07-2027,Active
5078,1078,IEEE-2026-078,Student,10-07-2026,09-07-2027,Active
5079,1079,IEEE-2026-079,Student,13-07-2026,12-07-2027,Active
5080,1080,IEEE-2026-080,Student,15-07-2026,14-07-2027,Active
5081,1081,IEEE-2026-081,Student,18-07-2026,17-07-2027,Active
5082,1082,IEEE-2026-082,Student,20-07-2026,19-07-2027,Active
5083,1083,IEEE-2026-083,Student,22-07-2026,21-07-2027,Active
5084,1084,IEEE-2026-084,Student,25-07-2026,24-07-2027,Active
5085,1085,IEEE-2026-085,Student,27-07-2026,26-07-2027,Active
5086,1086,IEEE-2026-086,Student,30-07-2026,29-07-2027,Active
5087,1087,IEEE-2026-087,Student,01-08-2026,31-07-2027,Active
5088,1088,IEEE-2026-088,Student,03-08-2026,02-08-2027,Active
5089,1089,IEEE-2026-089,Student,05-08-2026,04-08-2027,Active
5090,1090,IEEE-2026-090,Student,08-08-2026,07-08-2027,Active
5091,1091,IEEE-2026-091,Student,10-01-2025,09-01-2026,Expired
5092,1092,IEEE-2026-092,Student,18-01-2025,17-01-2026,Expired
5093,1093,IEEE-2026-093,Student,05-02-2025,04-02-2026,Expired
5094,1094,IEEE-2026-094,Student,20-02-2025,19-02-2026,Expired
5095,1095,IEEE-2026-095,Student,12-03-2025,11-03-2026,Expired
5096,1096,IEEE-2026-096,Student,28-03-2025,27-03-2026,Expired
5097,1097,IEEE-2026-097,Student,14-04-2025,13-04-2026,Expired
5098,1098,IEEE-2026-098,Student,30-04-2025,29-04-2026,Expired
5099,1099,IEEE-2026-099,Student,15-05-2025,14-05-2026,Expired
5100,1100,IEEE-2026-100,Student,28-05-2025,27-05-2026,Expired
5101,1101,IEEE-2026-101,Student,10-06-2025,09-06-2026,Expired
5102,1102,IEEE-2026-102,Student,25-06-2025,24-06-2026,Expired
5103,1103,IEEE-2026-103,Student,08-07-2025,07-07-2026,Expired
5104,1104,IEEE-2026-104,Student,20-07-2025,19-07-2026,Expired
5105,1105,IEEE-2026-105,Student,03-08-2025,02-08-2026,Expired
5106,1106,IEEE-2026-106,Student,17-08-2025,16-08-2026,Expired
5107,1107,IEEE-2026-107,Student,01-09-2025,31-08-2026,Expired
5108,1108,IEEE-2026-108,Student,15-09-2025,14-09-2026,Expired
5109,1109,IEEE-2026-109,Student,01-10-2025,30-09-2026,Active
5110,1110,IEEE-2026-110,Student,15-10-2025,14-10-2026,Active
